Removed Pin From Net: NetName=RX2 Pin=J6-1
Removed Pin From Net: NetName=TX2 Pin=J6-2
Removed Pin From Net: NetName=RX4 Pin=J6-4
Removed Pin From Net: NetName=TX4 Pin=J6-5
Removed Pin From Net: NetName=RX3 Pin=J8-1
Removed Pin From Net: NetName=TX3 Pin=J8-2
Removed Pin From Net: NetName=RX6 Pin=J8-4
Removed Pin From Net: NetName=TX6 Pin=J8-5
Removed Pin From Net: NetName=Y_RX1 Pin=J9-1
Removed Pin From Net: NetName=Y_TX1 Pin=J9-2
Removed Pin From Net: NetName=Y_RX2 Pin=J9-4
Removed Pin From Net: NetName=Y_TX2 Pin=J9-5
Removed Pin From Net: NetName=3v3 Pin=U1-11
Removed Pin From Net: NetName=M_SDA Pin=U1-67
Removed Pin From Net: NetName=GND Pin=U2-15
Removed Member From Class: ClassName=LAN Member=C6
Removed Member From Class: ClassName=LAN Member=C9
Removed Member From Class: ClassName=LAN Member=C19
Removed Member From Class: ClassName=main Member=C19
Removed Member From Class: ClassName=commucation Member=C26
Removed Member From Class: ClassName=commucation Member=C36
Removed Member From Class: ClassName=commucation Member=C37
Removed Member From Class: ClassName=commucation Member=C42
Removed Member From Class: ClassName=memory Member=C42
Removed Member From Class: ClassName=LAN Member=J5
Removed Member From Class: ClassName=memory Member=J5
Removed Member From Class: ClassName=main Member=J8
Removed Member From Class: ClassName=main Member=J9
Removed Member From Class: ClassName=commucation Member=U1
Change Component Footprint: Designator=U2 Old Footprint=SOIC127P1030X265-16N New Footprint=SOIC127P600X175-16N
Change Component Footprint: Designator=U5 Old Footprint=SOIC127P1030X265-16N New Footprint=SOIC127P600X175-16N
Change Component Footprint: Designator=U6 Old Footprint=SOIC127P1030X265-16N New Footprint=SOIC127P600X175-16N
Change Component Comment : Designator=U2 Old Comment=MAX3232CDWG4 New Comment=MAX3232ESE
Change Component Comment : Designator=U5 Old Comment=MAX3232CDWG4 New Comment=MAX3232ESE
Change Component Comment : Designator=U6 Old Comment=MAX3232CDWG4 New Comment=MAX3232ESE
Change Component Designator: OldDesignator=C5 NewDesignator=C15
Change Component Designator: OldDesignator=C6 NewDesignator=C16
Change Component Designator: OldDesignator=C7 NewDesignator=C17
Change Component Designator: OldDesignator=C8 NewDesignator=C18
Change Component Designator: OldDesignator=C9 NewDesignator=C19
Change Component Designator: OldDesignator=C10 NewDesignator=C20
Change Component Designator: OldDesignator=C11 NewDesignator=C21
Change Component Designator: OldDesignator=C12 NewDesignator=C22
Change Component Designator: OldDesignator=C13 NewDesignator=C23
Change Component Designator: OldDesignator=C14 NewDesignator=C25
Change Component Designator: OldDesignator=C15 NewDesignator=C26
Change Component Designator: OldDesignator=C16 NewDesignator=C24
Change Component Designator: OldDesignator=C17 NewDesignator=C27
Change Component Designator: OldDesignator=C18 NewDesignator=C28
Change Component Designator: OldDesignator=C19 NewDesignator=C29
Change Component Designator: OldDesignator=C20 NewDesignator=C30
Change Component Designator: OldDesignator=C21 NewDesignator=C31
Change Component Designator: OldDesignator=C22 NewDesignator=C32
Change Component Designator: OldDesignator=C23 NewDesignator=C33
Change Component Designator: OldDesignator=C24 NewDesignator=C34
Change Component Designator: OldDesignator=C25 NewDesignator=C36
Change Component Designator: OldDesignator=C26 NewDesignator=C35
Change Component Designator: OldDesignator=C27 NewDesignator=C37
Change Component Designator: OldDesignator=C28 NewDesignator=C38
Change Component Designator: OldDesignator=C29 NewDesignator=C39
Change Component Designator: OldDesignator=C30 NewDesignator=C40
Change Component Designator: OldDesignator=C31 NewDesignator=C41
Change Component Designator: OldDesignator=C32 NewDesignator=C42
Change Component Designator: OldDesignator=C33 NewDesignator=C43
Change Component Designator: OldDesignator=C34 NewDesignator=C44
Change Component Designator: OldDesignator=C35 NewDesignator=C45
Change Component Designator: OldDesignator=C36 NewDesignator=C46
Change Component Designator: OldDesignator=C37 NewDesignator=C47
Change Component Designator: OldDesignator=C38 NewDesignator=C48
Change Component Designator: OldDesignator=C39 NewDesignator=C49
Change Component Designator: OldDesignator=C40 NewDesignator=C50
Change Component Designator: OldDesignator=C41 NewDesignator=C51
Change Component Designator: OldDesignator=C42 NewDesignator=C52
